Source,Name,Description
First Nature,Amanita muscaria,"Phylum: Basidiomycota - Class: Agaricomycetes - Order: Agaricales - Family: Amanitaceae
Distribution - Etymology - Taxonomic History - Psychoactivity - Mythology - Identification - Reference Sources

The Fly Agaric, Amanita muscaria, is a hallucinogen and must be considered poisonous. These attractive fungi often appear in groups and are a common sight in all kinds of woodlands.
Usually recurring in the same place for several years, Amanita muscaria is found frequently throughout the northern he"
Wikipedia,Amanita muscaria,"Amanita muscaria, commonly known as the fly agaric or fly amanita, is a basidiomycete of the genus Amanita. It is a large white-gilled, white-spotted, and usually red mushroom.
Despite its easily distinguishable features, A. muscaria is a fungus with several known variations, or subspecies. These subspecies are slightly different, some having yellow or white caps, but are all usually called fly agarics, most often recognizable by their notable white spots. Recent DNA fungi research, however, has"
First Nature,Artomyces pyxidatus,"The page you have requested does not exist, or it may have been renamed or moved...
...but we might still be able to help:
A message about this problem has been sent to the webmaster, and if we can fix it so that things go more smoothly in future then we certainly will. We are sorry for any inconvenience and grateful for your patience.
Email Us..."
Wikipedia,Artomyces pyxidatus,"Artomyces pyxidatus is a coral fungus that is commonly called crown coral or crown-tipped coral fungus. Its most characteristic feature is the crown-like shape of the tips of its branches. The epithet pyxidatus means ""box-like""—a reference to this shape."
Mushroom Expert,Artomyces pyxidatus,"Ecology:Saprobic; growing alone or gregariously on the dead wood of hardwoods (especially the wood ofaspens,tulip trees, willows, and maples); spring, summer, and fall; widely distributed in eastern North America, the Rocky Mountains, and Mexico, but absent or rare on the West Coast.
Fruiting Body: 4-13 cm high; 2-10 cm wide; repeatedly branched.
Branches: 1-5 mm thick; smooth; whitish to pale yellowish at first, sometimes darkening to pale tan or developing pinkish hues; tips crowned with a shallow depression and 3-6 points, colored like the branches or becoming brownish.
Base: 1-3 cm long; under 1 cm thick; whitish, pinkish or brownish; finely fuzzy.
Flesh: Whitish; fairly tough; pliable.
Odor and Taste: Odor not distinctive or ""faintly of newly dug potatoes"" (Phillips); taste mild or peppery-acrid.
Spore Print: White.
Chemical Reactions: Iron salts negative to grayish or brownish on branches and base.
Microscopic Features: Spores 4-5 x 2-3 µ; elliptical, with a tiny apiculus; very minutely pitted; amyloid. Basidia four-sterigmate; clavate. Cystidia up to 50 x 9 µ; variously shaped (fusoid, cylindric, capitate, fusoid-ventricose, clavate); often scarcely projecting. Gloeoplerous hyphae 5-8 µ wide; scattered in the subhymenium; occasionally rising to the hymenium to form gloeocystidia. Clamp connections present and easily demonstrated."
First Nature,Auricularia fuscosuccinea,"The page you have requested does not exist, or it may have been renamed or moved...
...but we might still be able to help:
A message about this problem has been sent to the webmaster, and if we can fix it so that things go more smoothly in future then we certainly will. We are sorry for any inconvenience and grateful for your patience.
Email Us..."
Wikipedia,Auricularia fuscosuccinea,Auricularia fuscosuccinea is a species of edible Auriculariales fungus. It was first described scientifically in 1842 by French mycologist Camille Montagne as a species of Exidia. Paul Christoph Hennings transferred it to Auricularia in 1893.
First Nature,Auricularia mesenterica,"Phylum: Basidiomycota - Class: Agaricomycetes - Order: Auriculariales - Family: Auriculariaceae
Distribution - Taxonomic History - Etymology - Identification - Culinary Notes - Reference Sources

Auricularia mesentericais mainly seen in summer and autumn. It occurs most commonly on dead elm trees and on fallen elm trunks and branches, and so was particularly common after Dutch elm disease had ravaged the elms of Britain and Europe during the second half of the 20th century.
The so-called Jelly F"
Wikipedia,Auricularia mesenterica,"Auricularia mesenterica, commonly known as the tripe fungus, is a species of fungus in the family Auriculariaceae. Basidiocarps (fruit bodies) are gelatinous and typically formed in coalescing tiers on stumps and logs. They are partly pileate, with hirsute, zoned caps, and partly resupinate, with smooth to wrinkled undersurfaces that spread over the wood. Auricularia mesenterica is a saprotroph on dead deciduous trees and shrubs. The species is restricted to Europe and Central Asia."
First Nature,Calocera cornea,"Phylum: Basidiomycota - Class: Dacrymycetes - Order: Dacrymycetales - Family: Dacrymycetaceae
Distribution - Taxonomic History - Etymology - Identification - Culinary Notes - Reference Sources

This unbranching (or only very rarely branching) jelly fungus, with tiny fruitbodies usually shorter than the thickness of a finger, can be seen on trunks and twigs of deciduous broadleaf trees.
Small Stagshorn looks rather like a club fungus; however, it is much less brittle and microscopic examination r"
